"","cds","rna","GeneID","Name","gene_name","description","protein_id"
"mapping_line","5845","6559","GeneID:100765214,Genbank:XP_007631728.1","XP_007631728.1","Casc1","protein CASC1 isoform X6","XP_007631728.1"
"mapping_line","5846","6558","GeneID:100765214,Genbank:XP_007631732.1","XP_007631732.1","Casc1","protein CASC1 isoform X6","XP_007631732.1"
"mapping_line","5847","6560","GeneID:100765506,Genbank:XP_007631834.1","XP_007631834.1","Lrmp","lymphoid-restricted membrane protein isoform X1","XP_007631834.1"
"mapping_line","5848","6561","GeneID:100763658,Genbank:XP_007631751.1","XP_007631751.1","Bcat1","branched-chain-amino-acid aminotransferase%2C cytosolic isoform X1","XP_007631751.1"
"mapping_line","5849","6562","GeneID:100763658,Genbank:XP_007631745.1","XP_007631745.1","Bcat1","branched-chain-amino-acid aminotransferase%2C cytosolic isoform X2","XP_007631745.1"
"mapping_line","5850","6567","GeneID:100763944,Genbank:XP_007631762.1","XP_007631762.1","Sox5","transcription factor SOX-5 isoform X1","XP_007631762.1"
"mapping_line","5851","6568","GeneID:100763944,Genbank:XP_007631773.1","XP_007631773.1","Sox5","transcription factor SOX-5 isoform X3","XP_007631773.1"
"mapping_line","5852","6569","GeneID:100763944,Genbank:XP_007631769.1","XP_007631769.1","Sox5","transcription factor SOX-5 isoform X2","XP_007631769.1"
"mapping_line","5853","6570","GeneID:100763944,Genbank:XP_003498856.1","XP_003498856.1","Sox5","transcription factor SOX-5 isoform X4","XP_003498856.1"
"mapping_line","5854","6564","GeneID:100763944,Genbank:XP_007631786.1","XP_007631786.1","Sox5","transcription factor SOX-5 isoform X5","XP_007631786.1"
"mapping_line","5855","6565","GeneID:100763944,Genbank:XP_007631792.1","XP_007631792.1","Sox5","transcription factor SOX-5 isoform X5","XP_007631792.1"
"mapping_line","5856","6566","GeneID:100763944,Genbank:XP_007631799.1","XP_007631799.1","Sox5","transcription factor SOX-5 isoform X5","XP_007631799.1"
"mapping_line","5858","6572","GeneID:100766087,Genbank:XP_007631844.1","XP_007631844.1","C2cd5","C2 domain-containing protein 5 isoform X1","XP_007631844.1"
"mapping_line","5859","6576","GeneID:100766965,Genbank:XP_007631886.1","XP_007631886.1","C1qtnf1","complement C1q tumor necrosis factor-related protein 1 isoform X1","XP_007631886.1"
"mapping_line","5860","6574","GeneID:100766965,Genbank:XP_003498863.1","XP_003498863.1","C1qtnf1","complement C1q tumor necrosis factor-related protein 1 isoform X1","XP_003498863.1"
"mapping_line","5861","6573","GeneID:100766965,Genbank:XP_007631902.1","XP_007631902.1","C1qtnf1","complement C1q tumor necrosis factor-related protein 1 isoform X1","XP_007631902.1"
"mapping_line","5862","6575","GeneID:100766965,Genbank:XP_007631909.1","XP_007631909.1","C1qtnf1","complement C1q tumor necrosis factor-related protein 1 isoform X2","XP_007631909.1"
"mapping_line","5863","6577","GeneID:100767250,Genbank:XP_003498864.1","XP_003498864.1","Cant1","soluble calcium-activated nucleotidase 1","XP_003498864.1"
"mapping_line","5864","6578","GeneID:100767541,Genbank:XP_003498865.1","XP_003498865.1","Lgals3bp","galectin-3-binding protein","XP_003498865.1"
"mapping_line","5865","6580","GeneID:100767828,Genbank:XP_007631935.1","XP_007631935.1","LOC100767828","differential display clone 8","XP_007631935.1"
"mapping_line","5866","6579","GeneID:100767828,Genbank:XP_007631943.1","XP_007631943.1","LOC100767828","differential display clone 8","XP_007631943.1"
"mapping_line","5867","6581","GeneID:100772625,Genbank:XP_007632318.1","XP_007632318.1","Timp2","metalloproteinase inhibitor 2","XP_007632318.1"
"mapping_line","5868","6586","GeneID:100768120,Genbank:XP_007631954.1","XP_007631954.1","Usp36","ubiquitin carboxyl-terminal hydrolase 36","XP_007631954.1"
"mapping_line","5869","6582","GeneID:100768120,Genbank:XP_007631961.1","XP_007631961.1","Usp36","ubiquitin carboxyl-terminal hydrolase 36","XP_007631961.1"
"mapping_line","5870","6584","GeneID:100768120,Genbank:XP_003498867.1","XP_003498867.1","Usp36","ubiquitin carboxyl-terminal hydrolase 36","XP_003498867.1"
"mapping_line","5871","6583","GeneID:100768120,Genbank:XP_007631976.1","XP_007631976.1","Usp36","ubiquitin carboxyl-terminal hydrolase 36","XP_007631976.1"
"mapping_line","5872","6587","GeneID:100768404,Genbank:XP_007631990.1","XP_007631990.1","Cyth1","cytohesin-1","XP_007631990.1"
"mapping_line","5873","6588","GeneID:100768695,Genbank:XP_007632011.1","XP_007632011.1","Dnah17","dynein heavy chain 17%2C axonemal isoform X1","XP_007632011.1"
"mapping_line","5874","6589","GeneID:100768695,Genbank:XP_003498869.1","XP_003498869.1","Dnah17","dynein heavy chain 17%2C axonemal isoform X2","XP_003498869.1"
"mapping_line","5876","6591","GeneID:100769267,Genbank:XP_007632025.1","XP_007632025.1","Socs3","suppressor of cytokine signaling 3 isoform X1","XP_007632025.1"
"mapping_line","5877","6592","GeneID:103162941,Genbank:XP_007632325.1","XP_007632325.1","LOC103162941","stress response protein NST1-like","XP_007632325.1"
"mapping_line","5878","6595","GeneID:100769555,Genbank:XP_003498871.1","XP_003498871.1","LOC100769555","probable low-specificity L-threonine aldolase 1 isoform X1","XP_003498871.1"
"mapping_line","5879","6596","GeneID:100769843,Genbank:XP_003498872.1","XP_003498872.1","Tmem235","transmembrane protein 235 isoform X1","XP_003498872.1"
"mapping_line","5881","6598","GeneID:100773211,Genbank:XP_007632053.1","XP_007632053.1","Afmid","kynurenine formamidase isoform X1","XP_007632053.1"
"mapping_line","5882","6599","GeneID:100689285,Genbank:NP_001231423.1","NP_001231423.1","Tk1","thymidine kinase%2C cytosolic","NP_001231423.1"
"mapping_line","5883","6600","GeneID:100689285,Genbank:XP_007631867.1","XP_007631867.1","Tk1","thymidine kinase%2C cytosolic isoform X1","XP_007631867.1"
"mapping_line","5886","6604","GeneID:100774079,Genbank:XP_007632070.1","XP_007632070.1","Tmc8","transmembrane channel-like protein 8 isoform X1","XP_007632070.1"
"mapping_line","5887","6603","GeneID:100774079,Genbank:XP_007632074.1","XP_007632074.1","Tmc8","transmembrane channel-like protein 8 isoform X2","XP_007632074.1"
"mapping_line","5888","6606","GeneID:100774370,Genbank:XP_007632098.1","XP_007632098.1","Tmc6","transmembrane channel-like protein 6 isoform X1","XP_007632098.1"
"mapping_line","5889","6608","GeneID:100774370,Genbank:XP_007632104.1","XP_007632104.1","Tmc6","transmembrane channel-like protein 6 isoform X1","XP_007632104.1"
"mapping_line","5890","6607","GeneID:100774370,Genbank:XP_003498885.1","XP_003498885.1","Tmc6","transmembrane channel-like protein 6 isoform X1","XP_003498885.1"
"mapping_line","5891","6605","GeneID:100774370,Genbank:XP_007632116.1","XP_007632116.1","Tmc6","transmembrane channel-like protein 6 isoform X2","XP_007632116.1"
"mapping_line","5892","6609","GeneID:100770135,Genbank:XP_007632129.1","XP_007632129.1","Tnrc6c","trinucleotide repeat-containing gene 6C protein isoform X2","XP_007632129.1"
"mapping_line","5893","6610","GeneID:100770135,Genbank:XP_007632124.1","XP_007632124.1","Tnrc6c","trinucleotide repeat-containing gene 6C protein isoform X1","XP_007632124.1"
"mapping_line","5894","6611","GeneID:100770421,Genbank:XP_007632158.1","XP_007632158.1","Sept9","septin-9 isoform X2","XP_007632158.1"
"mapping_line","5895","6612","GeneID:100770421,Genbank:XP_007632166.1","XP_007632166.1","Sept9","septin-9 isoform X3","XP_007632166.1"
"mapping_line","5896","6613","GeneID:100770421,Genbank:XP_007632171.1","XP_007632171.1","Sept9","septin-9 isoform X4","XP_007632171.1"
"mapping_line","5897","6614","GeneID:100770421,Genbank:XP_007632153.1","XP_007632153.1","Sept9","septin-9 isoform X1","XP_007632153.1"
"mapping_line","5898","6619","GeneID:100770988,Genbank:XP_007632176.1","XP_007632176.1","Sec14l1","SEC14-like protein 1","XP_007632176.1"
"mapping_line","5899","6622","GeneID:100771275,Genbank:XP_007632219.1","XP_007632219.1","Mgat5b","alpha-1%2C6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B isoform X2","XP_007632219.1"
"mapping_line","5900","6623","GeneID:100771275,Genbank:XP_003498876.1","XP_003498876.1","Mgat5b","alpha-1%2C6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B isoform X1","XP_003498876.1"
"mapping_line","5901","6625","GeneID:100771567,Genbank:XP_007632241.1","XP_007632241.1","Mfsd11","UNC93-like protein MFSD11","XP_007632241.1"
"mapping_line","5902","6629","GeneID:100771861,Genbank:XP_007632268.1","XP_007632268.1","Mettl23","methyltransferase-like protein 23 isoform X3","XP_007632268.1"
"mapping_line","5903","6630","GeneID:100771861,Genbank:XP_003498878.1","XP_003498878.1","Mettl23","methyltransferase-like protein 23 isoform X1","XP_003498878.1"
"mapping_line","5904","6631","GeneID:100771861,Genbank:XP_007632260.1","XP_007632260.1","Mettl23","methyltransferase-like protein 23 isoform X2","XP_007632260.1"
"mapping_line","5906","6633","GeneID:100774948,Genbank:XP_007632338.1","XP_007632338.1","Mxra7","matrix-remodeling-associated protein 7 isoform X1","XP_007632338.1"
"mapping_line","5907","6634","GeneID:100750470,Genbank:XP_007632351.1","XP_007632351.1","Tmtc2","transmembrane and TPR repeat-containing protein 2 isoform X1","XP_007632351.1"
"mapping_line","5908","6636","GeneID:100750757,Genbank:XP_003498889.1","XP_003498889.1","Chit1","chitotriosidase-1 isoform X1","XP_003498889.1"
"mapping_line","5909","6637","GeneID:100750757,Genbank:XP_007632367.1","XP_007632367.1","Chit1","chitotriosidase-1 isoform X3","XP_007632367.1"
"mapping_line","5910","6638","GeneID:100750757,Genbank:XP_007632363.1","XP_007632363.1","Chit1","chitotriosidase-1 isoform X2","XP_007632363.1"
"mapping_line","5911","6639","GeneID:100760271,Genbank:XP_003498923.2","XP_003498923.2","Chi3l1","chitinase-3-like protein 1","XP_003498923.2"
"mapping_line","5912","6640","GeneID:100751054,Genbank:XP_007632855.1","XP_007632855.1","Mybph","myosin-binding protein H isoform X1","XP_007632855.1"
"mapping_line","5913","6641","GeneID:100751346,Genbank:XP_003498891.1","XP_003498891.1","Adora1","adenosine receptor A1","XP_003498891.1"
"mapping_line","5914","6642","GeneID:100751638,Genbank:XP_003498892.1","XP_003498892.1","Myog","myogenin","XP_003498892.1"
"mapping_line","5915","6643","GeneID:100760564,Genbank:XP_007632864.1","XP_007632864.1","Ppfia4","liprin-alpha-4 isoform X1","XP_007632864.1"
"mapping_line","5916","6644","GeneID:100751927,Genbank:XP_003498893.1","XP_003498893.1","Tmem183a","transmembrane protein 183A isoform X1","XP_003498893.1"
"mapping_line","5917","6645","GeneID:100760854,Genbank:XP_007632405.1","XP_007632405.1","LOC100760854","alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein homolog","XP_007632405.1"
"mapping_line","5918","6647","GeneID:100752211,Genbank:XP_003498894.1","XP_003498894.1","LOC100752211","NADH-cytochrome b5 reductase 1 isoform X1","XP_003498894.1"
"mapping_line","5919","6648","GeneID:100752505,Genbank:XP_003498895.1","XP_003498895.1","Adipor1","adiponectin receptor protein 1","XP_003498895.1"
"mapping_line","5920","6650","GeneID:100752808,Genbank:XP_003498896.1","XP_003498896.1","Klhl12","kelch-like protein 12 isoform X1","XP_003498896.1"
"mapping_line","5921","6649","GeneID:100752808,Genbank:XP_007632435.1","XP_007632435.1","Klhl12","kelch-like protein 12 isoform X1","XP_007632435.1"
"mapping_line","5922","6651","GeneID:100752808,Genbank:XP_007632439.1","XP_007632439.1","Klhl12","kelch-like protein 12 isoform X2","XP_007632439.1"
"mapping_line","5923","6652","GeneID:100753301,Genbank:XP_003498898.1","XP_003498898.1","Rabif","guanine nucleotide exchange factor MSS4","XP_003498898.1"
"mapping_line","5925","6654","GeneID:100761723,Genbank:XP_007632451.1","XP_007632451.1","Syt2","synaptotagmin-2","XP_007632451.1"
"mapping_line","5926","6655","GeneID:100753601,Genbank:XP_003498900.1","XP_003498900.1","Ppp1r12b","protein phosphatase 1 regulatory subunit 12B isoform X5","XP_003498900.1"
"mapping_line","5927","6657","GeneID:100753601,Genbank:XP_007632484.1","XP_007632484.1","Ppp1r12b","protein phosphatase 1 regulatory subunit 12B isoform X3","XP_007632484.1"
"mapping_line","5928","6656","GeneID:100753601,Genbank:XP_007632487.1","XP_007632487.1","Ppp1r12b","protein phosphatase 1 regulatory subunit 12B isoform X3","XP_007632487.1"
"mapping_line","5929","6658","GeneID:100753601,Genbank:XP_003498899.1","XP_003498899.1","Ppp1r12b","protein phosphatase 1 regulatory subunit 12B isoform X4","XP_003498899.1"
"mapping_line","5930","6660","GeneID:100753601,Genbank:XP_007632468.1","XP_007632468.1","Ppp1r12b","protein phosphatase 1 regulatory subunit 12B isoform X1","XP_007632468.1"
"mapping_line","5931","6661","GeneID:100753601,Genbank:XP_007632474.1","XP_007632474.1","Ppp1r12b","protein phosphatase 1 regulatory subunit 12B isoform X2","XP_007632474.1"
"mapping_line","5932","6662","GeneID:100754089,Genbank:XP_003498901.1","XP_003498901.1","Ube2t","ubiquitin-conjugating enzyme E2 T","XP_003498901.1"
"mapping_line","5934","6664","GeneID:100762307,Genbank:XP_007632517.1","XP_007632517.1","LOC100762307","receptor-type tyrosine-protein phosphatase V isoform X1","XP_007632517.1"
"mapping_line","5935","6665","GeneID:100762602,Genbank:XP_007632525.1","XP_007632525.1","Ptpn7","tyrosine-protein phosphatase non-receptor type 7 isoform X1","XP_007632525.1"
"mapping_line","5937","6667","GeneID:100754383,Genbank:XP_003498902.1","XP_003498902.1","Gpr37l1","prosaposin receptor GPR37L1","XP_003498902.1"
"mapping_line","5938","6668","GeneID:100754667,Genbank:XP_003498903.1","XP_003498903.1","LOC100754667","histone H2A.Z","XP_003498903.1"
"mapping_line","5939","6669","GeneID:100754961,Genbank:XP_003498904.1","XP_003498904.1","Elf3","ETS-related transcription factor Elf-3 isoform X2","XP_003498904.1"
"mapping_line","5940","6670","GeneID:100754961,Genbank:XP_003498905.1","XP_003498905.1","Elf3","ETS-related transcription factor Elf-3 isoform X1","XP_003498905.1"
"mapping_line","5941","6671","GeneID:100755451,Genbank:XP_003498906.1","XP_003498906.1","Rnpep","aminopeptidase B isoform X1","XP_003498906.1"
"mapping_line","5942","6672","GeneID:100755745,Genbank:XP_003498907.1","XP_003498907.1","Timm17a","mitochondrial import inner membrane translocase subunit Tim17-A","XP_003498907.1"
"mapping_line","5943","6673","GeneID:100763180,Genbank:XP_003498931.1","XP_003498931.1","Lmod1","leiomodin-1 isoform X1","XP_003498931.1"
"mapping_line","5945","6675","GeneID:100756041,Genbank:XP_003498908.1","XP_003498908.1","Ipo9","importin-9 isoform X1","XP_003498908.1"
"mapping_line","5946","6678","GeneID:100763751,Genbank:XP_007632628.1","XP_007632628.1","Nav1","neuron navigator 1 isoform X2","XP_007632628.1"
"mapping_line","5947","6676","GeneID:100763751,Genbank:XP_007632634.1","XP_007632634.1","Nav1","neuron navigator 1 isoform X3","XP_007632634.1"
"mapping_line","5948","6677","GeneID:100763751,Genbank:XP_007632623.1","XP_007632623.1","Nav1","neuron navigator 1 isoform X1","XP_007632623.1"
"mapping_line","5949","6681","GeneID:100756325,Genbank:XP_003498909.1","XP_003498909.1","Csrp1","cysteine and glycine-rich protein 1","XP_003498909.1"
"mapping_line","5951","6685","GeneID:100756622,Genbank:XP_007632654.1","XP_007632654.1","Tnni1","troponin I%2C slow skeletal muscle isoform X1","XP_007632654.1"
"mapping_line","5952","6688","GeneID:100756622,Genbank:XP_007632658.1","XP_007632658.1","Tnni1","troponin I%2C slow skeletal muscle isoform X2","XP_007632658.1"
"mapping_line","5953","6689","GeneID:100756622,Genbank:XP_007632670.1","XP_007632670.1","Tnni1","troponin I%2C slow skeletal muscle isoform X4","XP_007632670.1"
"mapping_line","5954","6690","GeneID:100756622,Genbank:XP_007632667.1","XP_007632667.1","Tnni1","troponin I%2C slow skeletal muscle isoform X3","XP_007632667.1"
"mapping_line","5955","6683","GeneID:100756622,Genbank:XP_007632675.1","XP_007632675.1","Tnni1","troponin I%2C slow skeletal muscle isoform X5","XP_007632675.1"
"mapping_line","5956","6687","GeneID:100756622,Genbank:XP_007632683.1","XP_007632683.1","Tnni1","troponin I%2C slow skeletal muscle isoform X5","XP_007632683.1"
"mapping_line","5957","6691","GeneID:100756622,Genbank:XP_007632692.1","XP_007632692.1","Tnni1","troponin I%2C slow skeletal muscle isoform X5","XP_007632692.1"
"mapping_line","5958","6686","GeneID:100756622,Genbank:XP_007632699.1","XP_007632699.1","Tnni1","troponin I%2C slow skeletal muscle isoform X5","XP_007632699.1"
"mapping_line","5959","6684","GeneID:100756622,Genbank:XP_007632706.1","XP_007632706.1","Tnni1","troponin I%2C slow skeletal muscle isoform X5","XP_007632706.1"
"mapping_line","5964","6696","GeneID:100758151,Genbank:XP_007632727.1","XP_007632727.1","Tmem9","transmembrane protein 9 isoform X1","XP_007632727.1"
"mapping_line","5965","6698","GeneID:100758151,Genbank:XP_007632733.1","XP_007632733.1","Tmem9","transmembrane protein 9 isoform X1","XP_007632733.1"
"mapping_line","5966","6697","GeneID:100758151,Genbank:XP_003498916.1","XP_003498916.1","Tmem9","transmembrane protein 9 isoform X2","XP_003498916.1"
"mapping_line","5967","6699","GeneID:100758151,Genbank:XP_007632743.1","XP_007632743.1","Tmem9","transmembrane protein 9 isoform X2","XP_007632743.1"
"mapping_line","5968","6700","GeneID:103163069,Genbank:XP_007632953.1","XP_007632953.1","Ascl5","achaete-scute homolog 5","XP_007632953.1"
"mapping_line","5970","6702","GeneID:100766089,Genbank:XP_007632752.1","XP_007632752.1","Kif21b","kinesin-like protein KIF21B isoform X1","XP_007632752.1"
"mapping_line","5971","6703","GeneID:100766673,Genbank:XP_003498941.1","XP_003498941.1","LOC100766673","uncharacterized protein C1orf106 homolog isoform X1","XP_003498941.1"
"mapping_line","5972","6704","GeneID:100766966,Genbank:XP_003498942.1","XP_003498942.1","Gpr25","probable G-protein coupled receptor 25 isoform X1","XP_003498942.1"
"mapping_line","5973","6706","GeneID:100758440,Genbank:XP_003498917.1","XP_003498917.1","Camsap2","calmodulin-regulated spectrin-associated protein 2","XP_003498917.1"
"mapping_line","5974","6708","GeneID:100758928,Genbank:XP_003498919.1","XP_003498919.1","Ddx59","probable ATP-dependent RNA helicase DDX59","XP_003498919.1"
"mapping_line","5975","6707","GeneID:100758928,Genbank:XP_007632787.1","XP_007632787.1","Ddx59","probable ATP-dependent RNA helicase DDX59","XP_007632787.1"
"mapping_line","5976","6710","GeneID:100759691,Genbank:XP_007632807.1","XP_007632807.1","Kif14","kinesin-like protein KIF14 isoform X1","XP_007632807.1"
"mapping_line","5977","6709","GeneID:100759691,Genbank:XP_007632808.1","XP_007632808.1","Kif14","kinesin-like protein KIF14 isoform X1","XP_007632808.1"
"mapping_line","5978","6711","GeneID:100759691,Genbank:XP_007632815.1","XP_007632815.1","Kif14","kinesin-like protein KIF14 isoform X2","XP_007632815.1"
"mapping_line","5979","6712","GeneID:100759406,Genbank:XP_003498921.1","XP_003498921.1","LOC100759406","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4","XP_003498921.1"
"mapping_line","5981","6714","GeneID:100769746,Genbank:XP_003498948.1","XP_003498948.1","Grid2","glutamate receptor ionotropic%2C delta-2 isoform X1","XP_003498948.1"
"mapping_line","5982","6715","GeneID:100769746,Genbank:XP_007633030.1","XP_007633030.1","Grid2","glutamate receptor ionotropic%2C delta-2 isoform X2","XP_007633030.1"
"mapping_line","5983","6716","GeneID:100769461,Genbank:XP_003498947.1","XP_003498947.1","Atoh1","protein atonal homolog 1 isoform X1","XP_003498947.1"
"mapping_line","5984","6717","GeneID:100767543,Genbank:XP_003498944.1","XP_003498944.1","Smarcad1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1","XP_003498944.1"
"mapping_line","5985","6718","GeneID:100768035,Genbank:XP_003498946.1","XP_003498946.1","Hpgds","hematopoietic prostaglandin D synthase","XP_003498946.1"
"mapping_line","5987","6720","GeneID:100772140,Genbank:XP_003498956.1","XP_003498956.1","Gjd4","gap junction delta-4 protein","XP_003498956.1"
"mapping_line","5988","6721","GeneID:100770036,Genbank:XP_007633157.1","XP_007633157.1","Wac","WW domain-containing adapter protein with coiled-coil isoform X3","XP_007633157.1"
"mapping_line","5989","6722","GeneID:100770036,Genbank:XP_007633149.1","XP_007633149.1","Wac","WW domain-containing adapter protein with coiled-coil isoform X2","XP_007633149.1"
"mapping_line","5990","6723","GeneID:100770036,Genbank:XP_003498949.1","XP_003498949.1","Wac","WW domain-containing adapter protein with coiled-coil isoform X1","XP_003498949.1"
"mapping_line","5992","6725","GeneID:100773009,Genbank:XP_007633165.1","XP_007633165.1","Armc4","armadillo repeat-containing protein 4 isoform X1","XP_007633165.1"
"mapping_line","5993","6726","GeneID:100770324,Genbank:XP_003498950.1","XP_003498950.1","Mkx","homeobox protein Mohawk","XP_003498950.1"
"mapping_line","5994","6727","GeneID:100770609,Genbank:XP_007633187.1","XP_007633187.1","Rab18","ras-related protein Rab-18 isoform X2","XP_007633187.1"
"mapping_line","5995","6728","GeneID:100770609,Genbank:XP_003498951.1","XP_003498951.1","Rab18","ras-related protein Rab-18 isoform X1","XP_003498951.1"
"mapping_line","5996","6729","GeneID:100773302,Genbank:XP_003498960.1","XP_003498960.1","LOC100773302","ankyrin repeat domain-containing protein 26-like isoform X1","XP_003498960.1"
"mapping_line","5997","6730","GeneID:100773590,Genbank:XP_003498961.1","XP_003498961.1","LOC100773590","ral guanine nucleotide dissociation stimulator-like isoform X1","XP_003498961.1"
"mapping_line","5998","6731","GeneID:100773878,Genbank:XP_007633206.1","XP_007633206.1","Epc1","enhancer of polycomb homolog 1 isoform X1","XP_007633206.1"
"mapping_line","5999","6732","GeneID:100773878,Genbank:XP_007633213.1","XP_007633213.1","Epc1","enhancer of polycomb homolog 1 isoform X2","XP_007633213.1"
"mapping_line","6001","6734","GeneID:100770897,Genbank:XP_007633223.1","XP_007633223.1","Arhgap12","rho GTPase-activating protein 12 isoform X1","XP_007633223.1"
"mapping_line","6002","6735","GeneID:100770897,Genbank:XP_007633230.1","XP_007633230.1","Arhgap12","rho GTPase-activating protein 12 isoform X2","XP_007633230.1"
"mapping_line","6003","6736","GeneID:100770897,Genbank:XP_007633238.1","XP_007633238.1","Arhgap12","rho GTPase-activating protein 12 isoform X3","XP_007633238.1"
"mapping_line","6004","6737","GeneID:100770897,Genbank:XP_007633248.1","XP_007633248.1","Arhgap12","rho GTPase-activating protein 12 isoform X4","XP_007633248.1"
"mapping_line","6005","6738","GeneID:100770897,Genbank:XP_007633256.1","XP_007633256.1","Arhgap12","rho GTPase-activating protein 12 isoform X5","XP_007633256.1"
"mapping_line","6006","6739","GeneID:100755353,Genbank:XP_003498982.2","XP_003498982.2","Tmem202","transmembrane protein 202","XP_003498982.2"
"mapping_line","6007","6740","GeneID:100750552,Genbank:XP_003498963.1","XP_003498963.1","Hexa","beta-hexosaminidase subunit alpha","XP_003498963.1"
"mapping_line","6008","6743","GeneID:100755645,Genbank:XP_007633345.1","XP_007633345.1","Celf6","CUGBP Elav-like family member 6 isoform X2","XP_007633345.1"
"mapping_line","6009","6742","GeneID:100755645,Genbank:XP_007633357.1","XP_007633357.1","Celf6","CUGBP Elav-like family member 6 isoform X8","XP_007633357.1"
"mapping_line","6010","6741","GeneID:100755645,Genbank:XP_007633354.1","XP_007633354.1","Celf6","CUGBP Elav-like family member 6 isoform X1","XP_007633354.1"
"mapping_line","6011","6744","GeneID:100755645,Genbank:XP_007633383.1","XP_007633383.1","Celf6","CUGBP Elav-like family member 6 isoform X9","XP_007633383.1"
"mapping_line","6012","6745","GeneID:100755645,Genbank:XP_007633390.1","XP_007633390.1","Celf6","CUGBP Elav-like family member 6 isoform X10","XP_007633390.1"
"mapping_line","6013","6746","GeneID:100755645,Genbank:XP_007633411.1","XP_007633411.1","Celf6","CUGBP Elav-like family member 6 isoform X13","XP_007633411.1"
"mapping_line","6014","6747","GeneID:100755645,Genbank:XP_007633398.1","XP_007633398.1","Celf6","CUGBP Elav-like family member 6 isoform X11","XP_007633398.1"
"mapping_line","6015","6748","GeneID:100755645,Genbank:XP_007633347.1","XP_007633347.1","Celf6","CUGBP Elav-like family member 6 isoform X3","XP_007633347.1"
"mapping_line","6016","6749","GeneID:100755645,Genbank:XP_007633373.1","XP_007633373.1","Celf6","CUGBP Elav-like family member 6 isoform X5","XP_007633373.1"
"mapping_line","6017","6750","GeneID:100755645,Genbank:XP_007633378.1","XP_007633378.1","Celf6","CUGBP Elav-like family member 6 isoform X7","XP_007633378.1"
"mapping_line","6018","6751","GeneID:100755645,Genbank:XP_007633365.1","XP_007633365.1","Celf6","CUGBP Elav-like family member 6 isoform X4","XP_007633365.1"
"mapping_line","6019","6752","GeneID:100755645,Genbank:XP_007633405.1","XP_007633405.1","Celf6","CUGBP Elav-like family member 6 isoform X12","XP_007633405.1"
"mapping_line","6020","6756","GeneID:100750845,Genbank:XP_007633420.1","XP_007633420.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X1","XP_007633420.1"
"mapping_line","6021","6761","GeneID:100750845,Genbank:XP_007633466.1","XP_007633466.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X1","XP_007633466.1"
"mapping_line","6022","6758","GeneID:100750845,Genbank:XP_003498964.1","XP_003498964.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X2","XP_003498964.1"
"mapping_line","6023","6753","GeneID:100750845,Genbank:XP_007633432.1","XP_007633432.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X3","XP_007633432.1"
"mapping_line","6024","6757","GeneID:100750845,Genbank:XP_007633439.1","XP_007633439.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X4","XP_007633439.1"
"mapping_line","6025","6755","GeneID:100750845,Genbank:XP_007633446.1","XP_007633446.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X5","XP_007633446.1"
"mapping_line","6026","6754","GeneID:100750845,Genbank:XP_007633452.1","XP_007633452.1","Parp6","poly [ADP-ribose] polymerase 6 isoform X5","XP_007633452.1"
"mapping_line","6027","6763","GeneID:100751347,Genbank:XP_007633479.1","XP_007633479.1","Pkm","pyruvate kinase PKM isoform X3","XP_007633479.1"
"mapping_line","6028","6764","GeneID:100751347,Genbank:XP_007633473.1","XP_007633473.1","Pkm","pyruvate kinase PKM isoform X2","XP_007633473.1"
"mapping_line","6029","6762","GeneID:100751347,Genbank:XP_003498966.1","XP_003498966.1","Pkm","pyruvate kinase PKM isoform X1","XP_003498966.1"
"mapping_line","6030","6765","GeneID:100755941,Genbank:XP_007633500.1","XP_007633500.1","Gramd2","GRAM domain-containing protein 2","XP_007633500.1"
"mapping_line","6031","6767","GeneID:100756226,Genbank:XP_007633510.1","XP_007633510.1","Senp8","sentrin-specific protease 8","XP_007633510.1"
"mapping_line","6032","6768","GeneID:100752004,Genbank:XP_007633520.1","XP_007633520.1","Myo9a","unconventional myosin-IXa isoform X1","XP_007633520.1"
"mapping_line","6033","6769","GeneID:100752004,Genbank:XP_007633527.1","XP_007633527.1","Myo9a","unconventional myosin-IXa isoform X2","XP_007633527.1"
"mapping_line","6034","6770","GeneID:100752004,Genbank:XP_007633545.1","XP_007633545.1","Myo9a","unconventional myosin-IXa isoform X5","XP_007633545.1"
"mapping_line","6035","6771","GeneID:100752004,Genbank:XP_007633542.1","XP_007633542.1","Myo9a","unconventional myosin-IXa isoform X4","XP_007633542.1"
"mapping_line","6036","6772","GeneID:100752004,Genbank:XP_007633535.1","XP_007633535.1","Myo9a","unconventional myosin-IXa isoform X3","XP_007633535.1"
"mapping_line","6037","6773","GeneID:100752298,Genbank:XP_003498970.1","XP_003498970.1","Nr2e3","photoreceptor-specific nuclear receptor","XP_003498970.1"
